mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time_ms
cxs1.xml,tmi1.xml,Template6,FAILED,10,1,5
tmi1.xml,smiTemplateid4.xml,template,TIMEOUT,0,0,0
smiTemplateid4.xml,tmi1.xml,Template1,FAILED,8,2,7
tmi1.xml,tadSyncid0id0.xml,Template4,FAILED,4,4,7
tadSyncid0id0.xml,tmi1.xml,Template1,PASSED,2,2,7
tmi1.xml,tadSyncid3id0.xml,Template5,FAILED,5,4,7
tadSyncid3id0.xml,tmi1.xml,Template1,PASSED,3,3,8
tmi1.xml,tmi4.xml,Template1,PASSED,1,1,7
tmi4.xml,tmi1.xml,Template1,PASSED,3,3,7
tmi1.xml,tadSyncid0id3.xml,Template5,FAILED,5,2,7
tadSyncid0id3.xml,tmi1.xml,Template1,PASSED,3,3,7
tmi1.xml,tadSyncid0id4.xml,Template5,FAILED,5,3,8
tadSyncid0id4.xml,tmi1.xml,Template3,PASSED,3,3,6
tmi1.xml,tadSyncid3id2.xml,Template5,FAILED,5,5,7
tadSyncid3id2.xml,tmi1.xml,Template3,PASSED,3,3,6
tmi1.xml,tadSyncid5id0.xml,Template4,FAILED,4,1,7
tadSyncid5id0.xml,tmi1.xml,Template2,PASSED,2,2,7
tmi1.xml,tadSyncid3id1.xml,Template4,FAILED,4,2,7
tadSyncid3id1.xml,tmi1.xml,Template2,PASSED,2,2,6
tmi1.xml,tadSyncid1id4.xml,Template4,FAILED,4,4,7
tadSyncid1id4.xml,tmi1.xml,Template1,PASSED,2,2,8
tmi1.xml,tadSyncid2id3.xml,Template3,FAILED,5,1,6
tadSyncid2id3.xml,tmi1.xml,Template1,PASSED,3,3,7
tmi1.xml,tadSyncid5id3.xml,Template4,FAILED,4,1,7
tadSyncid5id3.xml,tmi1.xml,Template1,PASSED,2,2,7
tmi1.xml,tmi13.xml,template,TIMEOUT,0,0,0
tmi13.xml,tmi1.xml,Template1,FAILED,2,1,7
tmi1.xml,tadSyncid5id1.xml,Template2,FAILED,3,1,6
